StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Purdue student?,Program,Other_Program,Age_Group,Gender,Current_Living,On_Campus_ReasonsToChoose,On_Campus_ReasonsToChoose_Other,On_Campus_StrongestReasonToChoose,On_Campus_StrongestReasonToChoose_ Other ,Current_Rent_Ex_Utility,Next_Sem_OffCampus?,Off_Campus_CampusProximity,Off_Campus_UtilityProximity,Campus_Commute,Campus_Commute_Other,Amenities_Community_Events,Amenities_Advanced_Study_Rooms,Amenities_Sports_Facilities,Amenities_ 24/7_Maintenance,Amenities_Enhanced_Security,Amenities_ Sustainable_Features,Preference_Private_Bathroom,Preference_OffCampus_Rent,Recommend_CurrentHousing
25-09-2024 19:02,25-09-2024 19:04,Survey Preview,,100,124,TRUE,25-09-2024 19:04,R_3OI8xzYol0KdikO,,,,,40.4444,-86.9256,preview,EN,1,Yes,Masters,,18 - 22,Female,On-campus,Proximity to classes,,Affordability,,$751-$1000,Yes,Very important,Neutral,Bus/Shuttle service,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,3,$751-$1000,
25-09-2024 19:05,25-09-2024 19:06,Survey Preview,,100,49,TRUE,25-09-2024 19:06,R_3G7ccw2rOx3xCyu,,,,,40.4444,-86.9256,preview,EN,1,Yes,Other,bnkmlklk,23 - 25,Prefer Not to Say,On-campus,"Affordable housing options,Availability of meal plans,Access to on-campus amenities (gym, study areas, etc.),I prefer the community experience,Other (please specify)",,Affordability,,$1001-$1250,No,,,,,,,,,,,,,
25-09-2024 19:06,25-09-2024 19:07,Survey Preview,,100,64,TRUE,25-09-2024 19:07,R_3oI7LM7zV2mWkXu,,,,,40.4444,-86.9256,preview,EN,1,Yes,PhD,,23 - 25,Non-binary / Third Gender,Off-campus,,,,,,,Very important,Very important,Bus/Shuttle service,,,Somewhat unimportant,Very important,,Somewhat important,Neutral,2,$500-$750,
25-09-2024 19:14,25-09-2024 19:14,Survey Preview,,100,45,TRUE,25-09-2024 19:14,R_3Id8BE2q85YsWFC,,,,,40.4444,-86.9256,preview,EN,1,Yes,PhD,,18 - 22,Non-binary / Third Gender,On-campus,Affordable housing options,,Safety,,$751-$1000,No,,,,,,,,,,,,,
26-09-2024 07:59,26-09-2024 08:03,Survey Preview,,100,228,TRUE,26-09-2024 08:03,R_3dGqUyhRPRL3vLv,,,,,40.4444,-86.9256,preview,EN,1,Yes,Masters,,23 - 25,Female,Off-campus,,,,,,,Very important,Somewhat important,Walk,,Somewhat unimportant,Neutral,Neutral,Neutral,Very important,Very important,4,$751-$1000,
26-09-2024 08:03,26-09-2024 08:03,Survey Preview,,100,5,TRUE,26-09-2024 08:03,R_3mdTHZyypZ5AAs3,,,,,40.4444,-86.9256,preview,EN,1,No,,,,,,,,,,,,,,,,,,,,,,,,
26-09-2024 08:25,26-09-2024 08:26,Survey Preview,,100,54,TRUE,26-09-2024 08:26,R_3E7gV2FUPicAMw7,,,,,40.4444,-86.9256,preview,EN,1,Yes,PhD,,30 and above,Female,Off-campus,,,,,,,Somewhat important,Very unimportant,Personal car,,Somewhat unimportant,Somewhat important,Neutral,Very important,Neutral,Somewhat unimportant,4,$751-$1000,Neutral
26-09-2024 08:36,26-09-2024 08:37,Survey Preview,,100,57,TRUE,26-09-2024 08:37,R_3PNOGwEYVOopiT2,,,,,40.4444,-86.9256,preview,EN,1,Yes,Other,,18 - 22,Female,Off-campus,,,,,,,Very important,Very important,Bicycle,,Neutral,Somewhat important,Neutral,Somewhat important,Neutral,Very important,5,$1001-$1250,Neutral
26-09-2024 12:17,26-09-2024 12:18,Survey Preview,,100,17,TRUE,26-09-2024 12:18,R_36eWVZm8DfgdH5A,,,,,40.4444,-86.9256,preview,EN,1,No,,,,,,,,,,,,,,,,,,,,,,,,
26-09-2024 12:20,26-09-2024 12:22,Survey Preview,,100,125,TRUE,26-09-2024 12:22,R_3EbMRDqSKU9m6rF,,,,,40.4444,-86.9256,preview,EN,1,Yes,Masters,,26 - 29,Female,On-campus,"Proximity to classes,Safety,Availability of meal plans,Access to on-campus amenities (gym, study areas, etc.)",,Affordability,,$751-$1000,Yes,Somewhat important,Somewhat important,Bus/Shuttle service,,Somewhat unimportant,Neutral,Somewhat important,Very important,Somewhat important,Neutral,5,$751-$1000,Neutral
26-09-2024 12:22,26-09-2024 12:23,Survey Preview,,100,57,TRUE,26-09-2024 12:23,R_3ALFzAcz5La7Uqt,,,,,40.4444,-86.9256,preview,EN,1,Yes,Masters,,26 - 29,Female,Off-campus,,,,,,,Somewhat important,Very important,Bus/Shuttle service,,Somewhat unimportant,Neutral,Somewhat important,Somewhat important,Somewhat important,Very important,5,$751-$1000,Very Likely
26-09-2024 12:38,26-09-2024 12:39,Survey Preview,,100,57,TRUE,26-09-2024 12:39,R_3omML5Nusyy5L0y,,,,,40.4444,-86.9256,preview,EN,1,Yes,Masters,,23 - 25,Female,Off-campus,,,,,,,Somewhat important,Somewhat important,Personal car,,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,4,$1001-$1250,Somewhat Likely
26-09-2024 13:08,26-09-2024 13:08,Survey Preview,,100,12,TRUE,26-09-2024 13:08,R_3Bbze9MYpsGZF1T,,,,,40.4444,-86.9256,preview,EN,1,No,,,,,,,,,,,,,,,,,,,,,,,,
26-09-2024 13:13,26-09-2024 13:13,Survey Preview,,100,10,TRUE,26-09-2024 13:13,R_3d1WTzgVHVpggxz,,,,,40.4444,-86.9256,preview,EN,1,No,,,,,,,,,,,,,,,,,,,,,,,,
26-09-2024 13:13,26-09-2024 13:15,Survey Preview,,100,96,TRUE,26-09-2024 13:15,R_3lEMYZqeYcufOMS,,,,,40.4444,-86.9256,preview,EN,0.800000012,Yes,Masters,,26 - 29,Female,On-campus,"Safety,Affordable housing options",,Proximity to classes,,$500-$750,Yes,Somewhat important,Somewhat important,Bus/Shuttle service,,Somewhat unimportant,Neutral,Neutral,Neutral,Somewhat important,Very important,3,$751-$1000,Somewhat Likely
26-09-2024 13:15,26-09-2024 13:16,Survey Preview,,100,62,TRUE,26-09-2024 13:16,R_3kBM0qaBOOVfeG0,,,,,40.4444,-86.9256,preview,EN,1,Yes,Masters,,26 - 29,Female,Off-campus,,,,,,,Neutral,Neutral,Bus/Shuttle service,,Somewhat unimportant,Somewhat unimportant,Somewhat unimportant,Somewhat unimportant,Somewhat unimportant,Somewhat unimportant,5,$1001-$1250,Very Likely
26-09-2024 15:24,26-09-2024 15:26,IP Address,195.252.200.106,100,110,TRUE,26-09-2024 15:26,R_7oI8bRgiou7TaTv,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,26 - 29,Female,On-campus,"Safety,Affordable housing options",,Affordability,,$500-$750,Yes,Somewhat important,Very important,Bus/Shuttle service,,Somewhat important,Neutral,Neutral,Neutral,Somewhat important,Somewhat unimportant,4,$1001-$1250,Somewhat Likely
26-09-2024 15:38,26-09-2024 15:39,IP Address,195.252.200.106,100,103,TRUE,26-09-2024 15:40,R_1zO4Z7droo5ROg0,,,,,40.4444,-86.9256,anonymous,EN,0.800000012,Yes,Masters,,23 - 25,Female,Off-campus,,,,,,,Somewhat important,Somewhat important,Bus/Shuttle service,,Neutral,Neutral,Neutral,Somewhat important,Somewhat important,Somewhat unimportant,4,$751-$1000,Somewhat Likely
26-09-2024 15:45,26-09-2024 15:46,IP Address,199.120.49.39,100,68,TRUE,26-09-2024 15:46,R_310s7MPGUUUz0WH,,,,,39.4886,-119.7366,anonymous,EN,0.899999976,Yes,Masters,,23 - 25,Female,Off-campus,,,,,,,Very important,Somewhat important,Bus/Shuttle service,,Very unimportant,Somewhat unimportant,Somewhat unimportant,Very important,Very important,Somewhat important,4,$500-$750,Somewhat Likely
26-09-2024 15:56,26-09-2024 15:56,IP Address,172.59.210.19,100,52,TRUE,26-09-2024 15:56,R_65HGxu9I8owYb4F,,,,,40.7467,-74.0574,anonymous,EN,1,Yes,Masters,,23 - 25,Female,Off-campus,,,,,,,Very unimportant,Very unimportant,Bicycle,,Neutral,Somewhat unimportant,Somewhat unimportant,Neutral,Somewhat unimportant,Somewhat unimportant,5,Above $1250,Very Likely
26-09-2024 16:03,26-09-2024 16:03,IP Address,216.171.8.37,100,16,TRUE,26-09-2024 16:03,R_1r1VqqKgrEaHgCY,,,,,40.112,-88.2365,anonymous,EN,0.899999976,No,,,,,,,,,,,,,,,,,,,,,,,,
26-09-2024 16:14,26-09-2024 16:15,IP Address,76.133.121.125,100,8,TRUE,26-09-2024 16:15,R_7e3Q5s1Tl2XKvwL,,,,,37.5172,-121.9191,anonymous,EN,1,No,,,,,,,,,,,,,,,,,,,,,,,,
26-09-2024 16:53,26-09-2024 16:54,IP Address,128.210.106.61,100,59,TRUE,26-09-2024 16:54,R_5YaZmBkvprDRTyB,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,18 - 22,Male,Off-campus,,,,,,,Very important,Neutral,Bus/Shuttle service,,Somewhat important,Somewhat important,Very important,Neutral,Neutral,Somewhat important,4,Under $500,Neutral
26-09-2024 17:04,26-09-2024 17:06,IP Address,68.50.200.104,100,106,TRUE,26-09-2024 17:06,R_5rJgXzYVbPSxRNV,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,23 - 25,Female,Off-campus,,,,,,,Very important,Neutral,Bus/Shuttle service,,Somewhat unimportant,Neutral,Neutral,Somewhat important,Somewhat important,Neutral,5,$500-$750,Neutral
26-09-2024 17:15,26-09-2024 17:16,IP Address,76.133.121.125,100,50,TRUE,26-09-2024 17:16,R_3SDD0BEL2vVVgCp,,,,,37.5172,-121.9191,anonymous,EN,1,Yes,Masters,,23 - 25,Male,Off-campus,,,,,,,Somewhat important,Very important,Bus/Shuttle service,,Very important,Very important,Very important,Very important,Very important,Somewhat important,5,$500-$750,Neutral
26-09-2024 17:27,26-09-2024 17:28,IP Address,107.115.203.54,100,97,TRUE,26-09-2024 17:28,R_1VsbYhxuOuOcTHz,,,,,39.9544,-75.1657,anonymous,EN,1,Yes,Masters,,26 - 29,Female,Off-campus,,,,,,,Neutral,Somewhat important,Personal car,,Neutral,Somewhat important,Somewhat important,Very important,Somewhat important,Neutral,4,$500-$750,Somewhat Likely
26-09-2024 18:20,26-09-2024 18:23,IP Address,195.252.200.105,100,144,TRUE,26-09-2024 18:23,R_1nq4l6LUyqc9FtL,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,26 - 29,Male,Off-campus,,,,,,,Very important,Somewhat important,Bus/Shuttle service,,Somewhat important,Somewhat important,Somewhat important,Somewhat unimportant,Very important,Neutral,5,$751-$1000,Neutral
26-09-2024 18:39,26-09-2024 18:43,IP Address,172.56.252.119,100,220,TRUE,26-09-2024 18:43,R_6c6IhEIryCQKSZX,,,,,39.8291,-86.0859,anonymous,EN,1,Yes,Masters,,23 - 25,Male,Off-campus,,,,,,,Somewhat unimportant,Somewhat unimportant,Bus/Shuttle service,,Somewhat important,Very important,Somewhat important,Very important,Very important,Neutral,3,$500-$750,Neutral
26-09-2024 19:44,26-09-2024 19:46,IP Address,195.252.200.105,100,86,TRUE,26-09-2024 19:46,R_5atQMnQh1v2Rf5M,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,18 - 22,Male,Off-campus,,,,,,,Very unimportant,Somewhat unimportant,Bus/Shuttle service,,Very unimportant,Somewhat unimportant,Somewhat unimportant,Very unimportant,Very unimportant,Very unimportant,5,$751-$1000,Very Likely
26-09-2024 20:04,26-09-2024 20:06,IP Address,98.223.103.147,100,63,TRUE,26-09-2024 20:06,R_3lcre9MJRyTim53,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,26 - 29,Female,Off-campus,,,,,,,Somewhat important,Somewhat important,Bus/Shuttle service,,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,5,Under $500,Neutral
26-09-2024 20:09,26-09-2024 20:10,IP Address,68.50.194.23,100,60,TRUE,26-09-2024 20:10,R_6fZ8yGQ4Is3o3Ya,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,23 - 25,Male,Off-campus,,,,,,,Somewhat important,Somewhat important,Bus/Shuttle service,,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,4,$500-$750,Somewhat Likely
26-09-2024 20:14,26-09-2024 20:15,IP Address,195.252.200.104,100,49,TRUE,26-09-2024 20:15,R_6rUNB3UiNkxLQyO,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Undergrad,,18 - 22,Male,Off-campus,,,,,,,Somewhat important,Somewhat important,Personal car,,Neutral,Somewhat important,Somewhat important,Very important,Somewhat important,Neutral,5,$751-$1000,Somewhat Likely
26-09-2024 20:49,26-09-2024 20:55,IP Address,128.210.106.58,100,363,TRUE,26-09-2024 20:55,R_5xsQ1M3p7soM3QJ,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,26 - 29,Female,Off-campus,,,,,,,Somewhat important,Very important,Personal car,,Very unimportant,Somewhat unimportant,Very important,Somewhat important,Very important,Somewhat unimportant,5,$1001-$1250,Very Likely
26-09-2024 21:38,26-09-2024 21:40,IP Address,73.87.136.30,100,127,TRUE,26-09-2024 21:40,R_5c7pJAsarJ0Ir5Q,,,,,38.8078,-77.0523,anonymous,EN,1,Yes,Masters,,23 - 25,Female,Off-campus,,,,,,,Somewhat important,Neutral,Bus/Shuttle service,,Very important,Somewhat important,Neutral,Neutral,Somewhat important,Very important,4,$751-$1000,Somewhat Likely
27-09-2024 09:09,27-09-2024 09:11,IP Address,168.92.226.230,100,102,TRUE,27-09-2024 09:11,R_7RqkgUyyrPhWpyt,,,,,40.4444,-86.9256,anonymous,EN,0.899999976,Yes,Undergrad,,18 - 22,Female,Off-campus,,,,,,,Somewhat important,Somewhat unimportant,Walk,,Somewhat unimportant,Somewhat important,Very important,Very important,Somewhat important,Somewhat unimportant,3,Above $1250,Neutral
27-09-2024 09:13,27-09-2024 09:18,IP Address,73.103.81.248,100,269,TRUE,27-09-2024 09:18,R_1SC5TTouPrDavWz,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,23 - 25,Female,Off-campus,,,,,,,Very important,Somewhat important,Bicycle,,Very unimportant,Somewhat unimportant,Very important,Very important,Very important,Somewhat important,5,$751-$1000,Very Likely
27-09-2024 10:14,27-09-2024 10:15,IP Address,73.103.72.21,100,51,TRUE,27-09-2024 10:15,R_1F4pwQ2THVX7daR,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,23 - 25,Female,On-campus,Proximity to classes,,Proximity to classes,,$751-$1000,No,,,,,,,,,,,,,Somewhat Likely
27-09-2024 11:58,27-09-2024 11:59,IP Address,128.210.106.75,100,89,TRUE,27-09-2024 11:59,R_6q2YfHM6Hahd6lf,,,,,40.4444,-86.9256,anonymous,EN,0.800000012,Yes,Masters,,23 - 25,Male,Off-campus,,,,,,,Somewhat important,Somewhat important,Bus/Shuttle service,,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,5,$500-$750,Very Likely
27-09-2024 12:07,27-09-2024 12:16,IP Address,172.226.166.24,100,543,TRUE,27-09-2024 12:16,R_1dddOszqQ5QpTUx,,,,,39.7661,-86.1735,anonymous,EN,1,Yes,Masters,,23 - 25,Male,Off-campus,,,,,,,Somewhat important,Somewhat important,Bus/Shuttle service,,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat unimportant,4,$751-$1000,Neutral
27-09-2024 12:43,27-09-2024 12:47,IP Address,128.210.106.62,100,274,TRUE,27-09-2024 12:47,R_7qU3Ehpru16Ic3D,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,26 - 29,Female,Off-campus,,,,,,,Somewhat important,Somewhat unimportant,Bus/Shuttle service,,Very unimportant,Very unimportant,Somewhat important,Neutral,Somewhat important,Very unimportant,2,$500-$750,Somewhat Likely
27-09-2024 14:17,27-09-2024 14:18,IP Address,195.252.200.99,100,87,TRUE,27-09-2024 14:18,R_5SemGe5J6bZvL9L,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,26 - 29,Female,Off-campus,,,,,,,Very important,Very important,Bus/Shuttle service,,Somewhat important,Very important,Very important,Very important,Very important,Very important,5,$500-$750,Very Likely
28-09-2024 07:34,28-09-2024 07:38,IP Address,107.115.203.93,100,206,TRUE,28-09-2024 07:38,R_6iBEwMZsm0W74DD,,,,,39.9544,-75.1657,anonymous,EN,0.899999976,Yes,Masters,,26 - 29,Male,Off-campus,,,,,,,Neutral,Somewhat important,Personal car,,Neutral,Neutral,Neutral,Somewhat important,Very important,Somewhat unimportant,5,Above $1250,Very Likely
28-09-2024 09:20,28-09-2024 09:21,IP Address,149.154.21.178,100,74,TRUE,28-09-2024 09:21,R_59OlzbINa1M7oHv,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,18 - 22,Male,Off-campus,,,,,,,Very important,Somewhat important,Walk,,Somewhat important,Very important,Somewhat important,Very important,Very important,Somewhat important,5,$1001-$1250,Very Likely
28-09-2024 13:28,28-09-2024 13:29,IP Address,195.252.200.104,100,72,TRUE,28-09-2024 13:29,R_7eOxJWxuLMzsQUm,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,26 - 29,Male,Off-campus,,,,,,,Neutral,Somewhat important,Bus/Shuttle service,,Very important,Somewhat important,Somewhat important,Somewhat important,Neutral,Somewhat important,5,$751-$1000,Very Likely
28-09-2024 13:35,28-09-2024 13:37,IP Address,174.219.212.59,100,113,TRUE,28-09-2024 13:37,R_5jGJ9X1wsPIg0Li,,,,,39.8451,-86.1906,anonymous,EN,0.899999976,Yes,Masters,,30 and above,Female,Off-campus,,,,,,,Very important,Very important,Bus/Shuttle service,,Neutral,Neutral,Neutral,Very important,Very important,Somewhat important,4,Under $500,Very Unlikely
28-09-2024 13:42,28-09-2024 13:43,IP Address,195.252.200.105,100,63,TRUE,28-09-2024 13:43,R_1wA0UsQKEvJU5Ji,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,18 - 22,Male,Off-campus,,,,,,,Very unimportant,Somewhat unimportant,Personal car,,Neutral,Somewhat unimportant,Somewhat important,Somewhat unimportant,Neutral,Very unimportant,5,$751-$1000,Somewhat Unlikely
28-09-2024 13:43,28-09-2024 13:43,IP Address,146.75.222.141,100,6,TRUE,28-09-2024 13:43,R_61bX7N1NQ3PGcd7,,,,,39.7661,-86.1735,anonymous,EN,1,No,,,,,,,,,,,,,,,,,,,,,,,,
28-09-2024 13:51,28-09-2024 13:52,IP Address,38.114.123.42,100,72,TRUE,28-09-2024 13:52,R_5DbjA5korVVta4F,,,,,33.4475,-112.0866,anonymous,EN,0.800000012,Yes,Undergrad,,18 - 22,Female,On-campus,"Availability of meal plans,Access to on-campus amenities (gym, study areas, etc.),I prefer the community experience",,Other,Required for freshman,$1001-$1250,No,,,,,,,,,,,,,Somewhat Likely
28-09-2024 13:35,28-09-2024 14:13,IP Address,68.44.123.138,100,2307,TRUE,28-09-2024 14:13,R_1DpReda2LhcP8mx,,,,,40.399,-86.8575,anonymous,EN,1,Yes,Masters,,30 and above,Female,Off-campus,,,,,,,Very important,Very unimportant,Bus/Shuttle service,,Somewhat unimportant,Very unimportant,Very unimportant,Somewhat unimportant,Very important,Somewhat important,2,Under $500,Very Unlikely
28-09-2024 16:11,28-09-2024 16:13,IP Address,172.56.252.88,100,105,TRUE,28-09-2024 16:13,R_6fTuZ7BU5nBkDre,,,,,39.8291,-86.0859,anonymous,EN,1,Yes,Masters,,30 and above,Male,Off-campus,,,,,,,Very important,Somewhat important,Bus/Shuttle service,,Somewhat important,Somewhat important,Neutral,Very important,Very important,Neutral,5,$500-$750,Somewhat Likely
28-09-2024 16:16,28-09-2024 16:18,IP Address,73.145.245.107,100,95,TRUE,28-09-2024 16:18,R_3B98pJU2o3jjLf0,,,,,42.3888,-83.1895,anonymous,EN,0.400000006,Yes,Masters,,18 - 22,Male,Off-campus,,,,,,,Very important,Somewhat important,Walk,,Neutral,Neutral,Very important,Very important,Very important,Neutral,5,$500-$750,Very Likely
28-09-2024 17:03,28-09-2024 17:04,IP Address,195.252.200.105,100,70,TRUE,28-09-2024 17:04,R_3mgECemMKrp5S8l,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,23 - 25,Male,Off-campus,,,,,,,Somewhat important,Somewhat important,Bus/Shuttle service,,Somewhat important,Somewhat unimportant,Very important,Very important,Very important,Somewhat important,5,$500-$750,Somewhat Likely
28-09-2024 18:26,28-09-2024 18:28,IP Address,195.252.220.236,100,82,TRUE,28-09-2024 18:28,R_638iV2wR9sQ7kFb,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,18 - 22,Male,Off-campus,,,,,,,Very important,Very important,Bus/Shuttle service,,Very important,Very important,Very important,Very important,Very important,Very important,3,Under $500,Neutral
28-09-2024 19:34,28-09-2024 19:35,IP Address,172.58.123.152,100,96,TRUE,28-09-2024 19:35,R_52zBsRvREO7aPD9,,,,,42.3575,-83.2162,anonymous,EN,1,Yes,Masters,,23 - 25,Female,Off-campus,,,,,,,Very important,Somewhat important,Bus/Shuttle service,,Neutral,Somewhat important,Neutral,Very important,Very important,Somewhat important,5,$500-$750,Somewhat Likely
29-09-2024 10:57,29-09-2024 10:59,IP Address,128.211.252.43,100,117,TRUE,29-09-2024 10:59,R_6w9naH7aPQE1Kxz,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Undergrad,,18 - 22,Male,On-campus,"Proximity to classes,Affordable housing options",,Affordability,,$500-$750,Yes,Very important,Somewhat important,Walk,,Neutral,Neutral,Very important,Very important,Very important,Very important,3,$751-$1000,Somewhat Likely
29-09-2024 11:01,29-09-2024 11:03,IP Address,195.252.200.105,100,103,TRUE,29-09-2024 11:03,R_5O0nXoJg1CEetLw,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,18 - 22,Male,Off-campus,,,,,,,Very important,Somewhat important,Bus/Shuttle service,,Neutral,Somewhat important,Somewhat unimportant,Somewhat important,Very important,Somewhat important,5,$751-$1000,Very Likely
29-09-2024 13:22,29-09-2024 13:24,IP Address,68.44.46.56,100,92,TRUE,29-09-2024 13:24,R_3vzgsKSc0Fjxu8x,,,,,40.3168,-87.4018,anonymous,EN,1,Yes,Masters,,23 - 25,Male,Off-campus,,,,,,,Somewhat important,Somewhat important,Bus/Shuttle service,,Neutral,Somewhat important,Very important,Very important,Very important,Very important,5,$500-$750,Very Likely
29-09-2024 13:28,29-09-2024 13:30,IP Address,172.59.184.93,100,97,TRUE,29-09-2024 13:30,R_1dgYEHPE32Pxt7r,,,,,41.923,-87.7531,anonymous,EN,0.899999976,Yes,Masters,,23 - 25,Female,Off-campus,,,,,,,Very unimportant,Neutral,Bus/Shuttle service,,Neutral,Very unimportant,Somewhat unimportant,Very unimportant,Very unimportant,Very unimportant,5,$500-$750,Neutral
29-09-2024 13:58,29-09-2024 13:59,IP Address,195.252.220.236,100,72,TRUE,29-09-2024 13:59,R_7aaC7DpvjwQbCDq,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,23 - 25,Male,Off-campus,,,,,,,Very unimportant,Very unimportant,Bus/Shuttle service,,Neutral,Somewhat unimportant,Somewhat unimportant,Very unimportant,Very unimportant,Somewhat unimportant,4,Under $500,Very Likely
29-09-2024 15:26,29-09-2024 15:28,IP Address,73.103.84.119,100,87,TRUE,29-09-2024 15:28,R_7I6PB0jD2BuiqVs,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,23 - 25,Male,Off-campus,,,,,,,Very important,Somewhat important,Walk,,Neutral,Somewhat unimportant,Somewhat important,Neutral,Somewhat unimportant,Very unimportant,5,$500-$750,Somewhat Likely
29-09-2024 20:49,29-09-2024 20:51,IP Address,195.252.220.2,100,117,TRUE,29-09-2024 20:51,R_3G267DxP2ZHa3Rd,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,26 - 29,Male,Off-campus,,,,,,,Very important,Neutral,Bus/Shuttle service,,Somewhat important,Very important,Somewhat important,Neutral,Somewhat important,Neutral,4,$500-$750,Very Likely
29-09-2024 21:23,29-09-2024 21:25,IP Address,98.223.100.35,100,132,TRUE,29-09-2024 21:25,R_1opX5gJWXtV9LRg,,,,,40.4444,-86.9256,anonymous,EN,1,Yes,Masters,,18 - 22,Female,Off-campus,,,,,,,Somewhat important,Somewhat important,Personal car,,Very unimportant,Very important,Very important,Somewhat important,Very important,Somewhat important,5,$751-$1000,Very Likely
30-09-2024 11:44,30-09-2024 11:45,IP Address,91.163.75.143,100,67,TRUE,30-09-2024 11:45,R_83wFv5lx6ucQ0dp,,,,,48.9512,2.3144,anonymous,EN,1,Yes,Masters,,23 - 25,Male,Off-campus,,,,,,,Very important,Very important,Bus/Shuttle service,,Somewhat important,Somewhat important,Neutral,Somewhat important,Somewhat important,Very important,3,Under $500,Very Likely
30-09-2024 12:07,30-09-2024 12:08,IP Address,78.242.111.231,100,62,TRUE,30-09-2024 12:08,R_8y7d78MeC5iM2Fw,,,,,48.8582,2.3387,anonymous,EN,1,Yes,Masters,,23 - 25,Female,Off-campus,,,,,,,Very important,Somewhat important,Bus/Shuttle service,,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,5,$500-$750,Very Likely
30-09-2024 11:45,30-09-2024 12:28,IP Address,78.242.111.231,100,2602,TRUE,30-09-2024 12:28,R_2k2kKvMvaCCrgwp,,,,,48.8582,2.3387,anonymous,EN,1,Yes,Undergrad,,18 - 22,Male,Off-campus,,,,,,,Neutral,Somewhat important,Bus/Shuttle service,,Neutral,Somewhat important,Neutral,Somewhat important,Very important,Somewhat important,3,$500-$750,Very Likely
30-09-2024 16:47,30-09-2024 16:48,IP Address,172.58.167.229,100,71,TRUE,30-09-2024 16:48,R_3ElGCJiYvxbCKDY,,,,,41.804,-87.707,anonymous,EN,1,Yes,Masters,,18 - 22,Female,Off-campus,,,,,,,Somewhat important,Somewhat unimportant,Bus/Shuttle service,,Somewhat unimportant,Neutral,Somewhat important,Somewhat unimportant,Very unimportant,Somewhat important,5,$500-$750,Somewhat Unlikely
26-09-2024 15:41,26-09-2024 15:41,IP Address,195.252.200.106,6,3,FALSE,03-10-2024 15:41,R_32sYb8241AjYsGJ,,,,,,,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,
